,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all
24,3.4862115556818014,3.4777954903183983,3.4783872701493728,3.4807981053831907,0.0038355037864433858,33,2.9902502416756014,2.981311761052696,2.9830456910085954,2.984869231245631,0.003870235411322345,22,2.8165442943573,0.03284753748536274,1.3352079391479492,0.1613446347384004,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.02}",10,10,0.002,0.02
25,3.5082443255791325,3.499272256009678,3.498981595569005,3.502166059052605,0.004299621211887593,46,3.0604962267044975,3.0529064724391937,3.05302065544488,3.055474451529524,0.0035512372370469763,50,2.786370277404785,0.03830516686962036,1.2964125474294026,0.12427979722087175,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.4}",10,10,0.002,0.4
26,3.5237172678591766,3.5147193227511173,3.514121369848682,3.517519320152992,0.004389404192281804,54,3.0982573801245312,3.091281583685795,3.0908673990623967,3.093468787624241,0.0033902655575378795,62,2.7280577023824057,0.11894632854902318,1.3402000268300374,0.1775082539351048,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.002, 'reg_all': 0.6}",10,10,0.002,0.6
27,3.4612605054488363,3.456843000809968,3.4544041488069617,3.4575025516885884,0.002837682401921396,16,2.922975088139955,2.9147053357647787,2.9148918496840617,2.9175240911962654,0.003855188937921517,3,2.810584624608358,0.010656124895213354,1.3297279675801594,0.1881433115979438,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.02}",10,10,0.005,0.02
28,3.4609581192916727,3.45277550383509,3.4523881387333453,3.4553739206200365,0.003951790230072484,12,3.0026513427110606,2.993784926811517,2.9935122238152205,2.9966494977792664,0.004245405255098585,26,2.797268549601237,0.02058945264109314,1.4756356875101726,0.17899710527975252,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.4}",10,10,0.005,0.4
29,3.4788802028232273,3.4703346644870208,3.4695196993856694,3.4729115222319726,0.004233588157376794,27,3.0458437313979836,3.0375669289033302,3.03668999388616,3.0400335513958248,0.004123986542105498,38,2.777604818344116,0.010639365470297084,1.3365023136138916,0.17537984815152344,"{'n_factors': 10, 'n_epochs': 10, 'lr_all': 0.005, 'reg_all': 0.6}",10,10,0.005,0.6
30,3.456149824152015,3.448506041156138,3.447080728126332,3.4505788644781616,0.003982007288961106,7,2.931652870218874,2.9214998395341563,2.9220195957470376,2.925057435166689,0.004668501492334713,5,5.540394385655721,0.021090859990079636,1.3332509994506836,0.18541728266493065,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.02}",10,20,0.002,0.02
31,3.4698369942904224,3.4612764542340804,3.46140578934878,3.4641730792910947,0.004005340745611507,19,3.012147603099441,3.003447258501767,3.004504271667803,3.0066997110896705,0.0038763354447971395,30,5.5174094041188555,0.039896212892465345,1.3308998743693035,0.19295107952768933,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.4}",10,20,0.002,0.4
32,3.48758678809889,3.478771066339998,3.4786461995550497,3.481668017997979,0.004185512916323973,36,3.0540503446233016,3.0461751015964773,3.046460315400681,3.048895253873487,0.003647058833969123,46,5.496718962987264,0.007883095534846825,1.45266326268514,0.1737381197335409,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.002, 'reg_all': 0.6}",10,20,0.002,0.6
33,3.590764728701375,3.5952347693928592,3.5916546268474114,3.592551374980548,0.0019319133618591975,71,2.9443350363086407,2.9443525436151314,2.944728207054728,2.9444719289928334,0.00018135684933577893,10,5.3903733889261884,0.1695088361535338,1.313872257868449,0.1926347520813542,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.02}",10,20,0.005,0.02
34,3.4439445706193377,3.4353066138949493,3.4359927768910725,3.4384146538017863,0.003920262739586786,2,2.9682849423647872,2.958637055800792,2.9588502928836387,2.961924097016406,0.004498639251513964,12,5.018435001373291,0.3003498811368052,1.2270750204722087,0.24854442176901437,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.4}",10,20,0.005,0.4
35,3.4611537896310125,3.452723920242334,3.4519969735460974,3.455291561139815,0.004155831648583408,10,3.0146818497501338,3.005968443255205,3.0051171083134767,3.0085891337729387,0.004322197263725123,33,5.308007478713989,0.27879391838511364,1.3113701343536377,0.18043000330398046,"{'n_factors': 10, 'n_epochs': 20, 'lr_all': 0.005, 'reg_all': 0.6}",10,20,0.005,0.6
